Q Number	Video #	Full Question Text	Category	Type	Answer Format	Option 1	Option 2	Option 3	Scoring	Age Ranges Shown
Q37	Q37	Does your child say 4 meaningful words (not including "mum"/"dad")?	Expressive	Scored	A	Yes	Not yet		Yes=10, Not yet=0	15-16 mo
Q38	Q38	When looking at pictures in a book, does your child touch, point or try to pick up the images?	Comprehension	Scored	B	Always/Mostly	Sometimes	Rarely/Not Yet	10 / 5 / 0	15-16 mo
Q39	Q39	When you ask your child to find a familiar object, will they go into another room for it?	Comprehension	Scored	B	Always/Mostly	Sometimes	Rarely/Not Yet	10 / 5 / 0	15-16, 17-18 mo
Q40	Q40	Does your child tell you they want something by pointing to the item?	Expressive	Scored	B	Always/Mostly	Sometimes	Rarely/Not Yet	10 / 5 / 0	15-16, 17-18 mo
Q41	Q41	Does your child say 8 or more meaningful words (not including "mum"/"dad")?	Expressive	Scored	A	Yes	Not yet		Yes=10, Not yet=0	15-16, 17-18, 19-20 mo
Q42	Q42	Does your child copy phrases that have two words (e.g. mum play, more bubble)?	Expressive	Scored	B	Always/Mostly	Sometimes	Rarely/Not Yet	10 / 5 / 0	15-16, 17-18, 19-20 mo
Q43	Q43	During picture/book share, when you say "Show me the tree" or "Where's the cow?", does your child point to the correct picture?	Comprehension	Scored	B	Always/Mostly	Sometimes	Rarely/Not Yet	10 / 5 / 0	17-18, 19-20 mo
Q44	Q44	Does your child say short phrases that represent different ideas together (e.g. "cat down," "more mum", "daddy gone")?	Expressive	Scored	B	Always/Mostly	Sometimes	Rarely/Not Yet	10 / 5 / 0	17-18, 19-20, 21-22, 23-25 mo
Q45	Q45	Can your child carry out at least three instructions WITHOUT gestural prompts? ("Get your jumper", "Open the door", etc.)	Comprehension	Scored	B	Always/Mostly	Sometimes	Rarely/Not Yet	10 / 5 / 0	19-20, 21-22, 23-25 mo
Q46	Q46	Does your child correctly name at least one picture when you point and say "what's this"?	Expressive	Scored	A	Yes	Not yet		Yes=10, Not yet=0	19-20 mo
Q47	Q47	When you ask your child to point to body parts, do they correctly point to at least seven?	Comprehension	Scored	A	Yes	Not yet		Yes=10, Not yet=0	21-22 mo
Q48	Q48	Does your child use at least 2 pronoun words ("you, mine, I, me")?	Expressive	Scored	A	Yes	Not yet		Yes=10, Not yet=0	21-22 mo
Q49	Q49	Does your child say 15 or more meaningful words?	Expressive	Scored	A	Yes	Not yet		Yes=10, Not yet=0	21-22 mo
Q50	Q50	Does your child correctly name at least one picture when you point and say "what's this"?	Expressive	Scored	A	Yes	Not yet		Yes=10, Not yet=0	21-22, 23-25 mo
Q51	Q51	During picture/book share, does your child point to the correct picture when asked?	Comprehension	Scored	B	Always/Mostly	Sometimes	Rarely/Not Yet	10 / 5 / 0	23-25 mo
Q52	Q52	Does your child copy phrases that have two words?	Expressive	Scored	B	Always/Mostly	Sometimes	Rarely/Not Yet	10 / 5 / 0	23-25 mo
Q53	Q53	Does your child use at least two pronoun words ("you", "mine", "I", "me")?	Expressive	Scored	A	Yes	Not yet		Yes=10, Not yet=0	25-28 mo
Q54	Q54	Does your child correctly name at least one picture when asked "what's this"?	Expressive	Scored	A	Yes	Not yet		Yes=10, Not yet=0	25-28, 28-31 mo
Q55	Q55	Can your child carry out at least three instructions WITHOUT gestural prompts?	Comprehension	Scored	B	Always/Mostly	Sometimes	Rarely/Not Yet	10 / 5 / 0	25-28, 28-31 mo
Q56	Q56	Can your child talk in sentences with 3-4 words? (e.g. "big car down", "give drink to teddy")	Expressive	Scored	B	Always/Mostly	Sometimes	Rarely/Not Yet	10 / 5 / 0	25-28, 28-31, 31-34, 34-38 mo
Q57	Q57	Can your child point to at least seven body parts?	Comprehension	Scored	A	Yes	Not yet		Yes=10, Not yet=0	25-28, 28-31, 31-34, 34-38 mo
Q58	Q58	When looking at pictures in a book, does your child label or talk about actions happening? (e.g. "jumping, running, crying, hugging")	Expressive	Scored	B	Always/Mostly	Sometimes	Rarely/Not Yet	10 / 5 / 0	28-31, 31-34, 34-38, 39-44 mo
Q59	Q59	Give your child a verbal instruction such as "put the sock in the box" -- can they follow through correctly WITHOUT gestural help?	Comprehension	Scored	B	Always/Mostly	Sometimes	Rarely/Not Yet	10 / 5 / 0	25-28, 28-31, 31-34, 34-38, 39-44 mo
Q60	Q60	Can your child tell you their first name or nickname if you ask "what's your name?"	Expressive	Scored	A	Yes	Not yet		Yes=10, Not yet=0	31-34 mo
Q61	Q61	Does your child understand "up" and "down"?	Comprehension	Scored	B	Always/Mostly	Sometimes	Rarely/Not Yet	10 / 5 / 0	31-34, 34-38, 39-44 mo
Q62	Q62	Can your child tell you their first and last name if you ask "what's your name?"	Expressive	Scored	A	Yes	Not yet		Yes=10, Not yet=0	34-38, 39-44 mo
Q63	Q63	Can your child follow instructions that have three steps, without repeating it, nor any support from gestures/pointing? For example, "Get the ball, sit down and touch your nose" OR "clap your hands, pat your head and then sit down".	Comprehension	Scored	B	Always/Mostly	Sometimes	Rarely/Not Yet	10 / 5 / 0	39-44 mo
Q64	Q64	When your child says sentences, do they include all the little words to make it grammatically correct? (e.g. "I am eating a banana", "put it in the box", "is that mine", "daddy is cutting", "are you going too")	Expressive	Scored	B	Always/Mostly	Sometimes	Rarely/Not Yet	10 / 5 / 0	39-44 mo
Q44	Q44	Does your child say short phrases that represent different ideas together (e.g. "cat down," "more mum", "daddy gone")?	Expressive	Comm Stage Bridge	B	Always/Mostly	Sometimes	Rarely/Not Yet	N/A	15-16 mo
Q43	Q43	During picture/book share, when you say "Show me the tree" or "Where's the cow?", does your child point to the correct picture?	Comprehension	Bridge	B	Always/Mostly	Sometimes	Rarely/Not Yet	N/A	15-16 mo
Q42	Q42	Does your child copy phrases that have two words (e.g. mum play, more bubble)?	Expressive	Bridge	B	Always/Mostly	Sometimes	Rarely/Not Yet	N/A	15-16 mo
Q45	Q45	Can your child carry out at least three instructions WITHOUT gestural prompts?	Comprehension	Bridge	B	Always/Mostly	Sometimes	Rarely/Not Yet	N/A	17-18 mo
Q46	Q46	Does your child correctly name at least one picture when you point and say "what's this"?	Expressive	Bridge	A	Yes	Not yet		N/A	17-18 mo
Q47	Q47	When you ask your child to point to body parts, do they correctly point to at least seven?	Comprehension	Bridge	A	Yes	Not yet		N/A	19-20 mo
Q48	Q48	Does your child use at least 2 pronoun words ("you, mine, I, me")?	Expressive	Bridge	A	Yes	Not yet		N/A	19-20 mo
Q49	Q49	Does your child say 15 or more meaningful words?	Expressive	Bridge	A	Yes	Not yet		N/A	19-20 mo
Q56	Q56	Can your child talk in sentences with 3-4 words?	Expressive	Bridge	B	Always/Mostly	Sometimes	Rarely/Not Yet	N/A	21-22 mo
Q59	Q59	Give your child a verbal instruction such as "put the sock in the box" -- can they follow through correctly WITHOUT gestural help?	Comprehension	Bridge	B	Always/Mostly	Sometimes	Rarely/Not Yet	N/A	21-22 mo
Q53	Q53	Does your child use at least two pronoun words?	Expressive	Bridge	A	Yes	Not yet		N/A	23-25 mo
Q58	Q58	When looking at pictures in a book, does your child label or talk about actions happening?	Expressive	Bridge	B	Always/Mostly	Sometimes	Rarely/Not Yet	N/A	23-25 mo
Q61	Q61	Does your child understand "up" and "down"? (ruler/car + stairs alternative)	Comprehension	Bridge	B	Always/Mostly	Sometimes	Rarely/Not Yet	N/A	25-28 mo
Q58	Q58	When looking at pictures in a book, does your child label or talk about actions happening?	Expressive	Bridge	B	Always/Mostly	Sometimes	Rarely/Not Yet	N/A	25-28 mo
Q61	Q61	Does your child understand "up" and "down"? (ruler/car + stairs alternative)	Comprehension	Bridge	B	Always/Mostly	Sometimes	Rarely/Not Yet	N/A	28-31 mo
Q60	Q60	Can your child tell you their first name or nickname if you ask "what's your name?"	Expressive	Bridge	A	Yes	Not yet		N/A	28-31 mo
Q63	Q63	Can your child follow instructions that have three steps?	Comprehension	Bridge	B	Always/Mostly	Sometimes	Rarely/Not Yet	N/A	31-34 mo
Q64a	New	Does your child ask questions like "what's that?", "where's teddy?" or "why?"	Expressive	Bridge	B	Always/Mostly	Sometimes	Rarely/Not Yet	N/A	31-34 mo
Q63	Q63	Can your child follow instructions that have three steps?	Comprehension	Bridge	B	Always/Mostly	Sometimes	Rarely/Not Yet	N/A	34-38 mo
Q64	Q64	When your child says sentences, do they include all the little words to make it grammatically correct?	Expressive	Bridge	B	Always/Mostly	Sometimes	Rarely/Not Yet	N/A	34-38 mo
Q64b	New	Without your giving help by pointing or repeating, does your child follow three directions that are unrelated to one another? Give all three directions before your child starts. For example, you may ask your child, "Clap your hands, walk to the door, and sit down," or "Give me the pen, open the book, and stand up."	Comprehension	Bridge	B	Always/Mostly	Sometimes	Rarely/Not Yet	N/A	39-44 mo
Q64c	New	Does your child name at least three items from a common category? For example, if you say to your child, "Tell me some things that you can eat," does your child answer with something like "cookies, eggs, and cereal"? Or if you say, "Tell me the names of some animals," does your child answer with something like "cow, dog, and elephant"?	Expressive	Bridge	A	Yes	Not yet		N/A	39-44 mo
Q64d	New	When your child talks to you, do they mostly put two or more words together? (e.g. "more milk", "daddy come", "mum sit" "red car")	Expressive	Comm Stage	B	Always/Mostly	Sometimes	Rarely/Not Yet	N/A	25-28, 28-31 mo
